"","SAMN14119777","SAMN14119778"
"ASV1",1604,695
"ASV2",761,319
"ASV3",669,194
"ASV4",528,333
"ASV5",628,62
"ASV6",258,211
"ASV7",190,163
"ASV8",210,102
"ASV9",144,113
"ASV10",241,0
"ASV11",149,92
"ASV12",131,59
"ASV13",121,50
"ASV14",109,52
"ASV15",87,55
"ASV16",139,0
"ASV17",63,71
"ASV18",90,36
"ASV19",85,40
"ASV20",88,35
"ASV21",119,0
"ASV22",96,21
"ASV23",53,44
"ASV24",55,40
"ASV25",40,52
"ASV26",43,48
"ASV27",45,44
"ASV28",59,29
"ASV29",37,47
"ASV30",54,25
"ASV31",47,31
"ASV32",30,44
"ASV33",73,0
"ASV34",39,30
"ASV35",0,55
"ASV36",36,17
"ASV37",0,48
"ASV38",30,15
"ASV39",0,45
"ASV40",39,4
"ASV41",21,18
"ASV42",15,22
"ASV43",36,0
"ASV44",36,0
"ASV45",36,0
"ASV46",36,0
"ASV47",21,14
"ASV48",20,15
"ASV49",6,29
"ASV50",24,8
"ASV51",16,16
"ASV52",31,0
"ASV53",22,8
"ASV54",0,30
"ASV55",29,0
"ASV56",15,14
"ASV57",0,29
"ASV58",0,29
"ASV59",0,29
"ASV60",21,7
"ASV61",0,28
"ASV62",27,0
"ASV63",17,10
"ASV64",0,27
"ASV65",24,0
"ASV66",0,24
"ASV67",23,0
"ASV68",23,0
"ASV69",23,0
"ASV70",23,0
"ASV71",23,0
"ASV72",0,23
"ASV73",7,15
"ASV74",0,22
"ASV75",17,4
"ASV76",0,21
"ASV77",11,9
"ASV78",0,20
"ASV79",19,0
"ASV80",19,0
"ASV81",18,0
"ASV82",18,0
"ASV83",8,10
"ASV84",16,0
"ASV85",16,0
"ASV86",16,0
"ASV87",16,0
"ASV88",0,16
"ASV89",0,16
"ASV90",0,16
"ASV91",15,0
"ASV92",15,0
"ASV93",15,0
"ASV94",15,0
"ASV95",0,15
"ASV96",14,0
"ASV97",14,0
"ASV98",14,0
"ASV99",14,0
"ASV100",0,14
"ASV101",13,0
"ASV102",13,0
"ASV103",13,0
"ASV104",7,6
"ASV105",0,13
"ASV106",12,0
"ASV107",12,0
"ASV108",0,12
"ASV109",11,0
"ASV110",11,0
"ASV111",0,11
"ASV112",10,0
"ASV113",10,0
"ASV114",10,0
"ASV115",0,10
"ASV116",0,10
"ASV117",0,10
"ASV118",0,10
"ASV119",0,10
"ASV120",0,10
"ASV121",6,3
"ASV122",5,4
"ASV123",0,9
"ASV124",0,9
"ASV125",0,9
"ASV126",8,0
"ASV127",8,0
"ASV128",8,0
"ASV129",5,3
"ASV130",0,8
"ASV131",0,8
"ASV132",0,8
"ASV133",0,8
"ASV134",7,0
"ASV135",7,0
"ASV136",7,0
"ASV137",7,0
"ASV138",7,0
"ASV139",0,7
"ASV140",6,0
"ASV141",0,6
"ASV142",0,6
"ASV143",0,6
"ASV144",0,6
"ASV145",5,0
"ASV146",5,0
"ASV147",5,0
"ASV148",5,0
"ASV149",0,5
"ASV150",4,0
"ASV151",4,0
"ASV152",0,4
"ASV153",0,4
"ASV154",3,0
"ASV155",2,0
"ASV156",0,2
